"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"11.07.2023","6,942","6,916","6,970","6,834","7,17M","0,93%"
"10.07.2023","6,878","6,854","6,964","6,844","5,72M","-0,23%"
"07.07.2023","6,894","6,848","6,926","6,792","7,85M","0,79%"
"06.07.2023","6,840","6,896","6,938","6,794","9,64M","-1,70%"
"05.07.2023","6,958","6,990","7,030","6,932","8,77M","-0,94%"
"04.07.2023","7,024","7,100","7,136","7,022","5,44M","-0,93%"
"03.07.2023","7,090","7,030","7,164","7,030","7,88M","0,82%"
"30.06.2023","7,032","6,980","7,128","6,960","18,40M","1,06%"
"29.06.2023","6,958","6,860","6,972","6,858","12,20M","1,52%"
"28.06.2023","6,854","6,794","6,860","6,782","8,46M","1,03%"
"27.06.2023","6,784","6,760","6,812","6,682","9,76M","0,53%"
"26.06.2023","6,748","6,662","6,754","6,534","9,44M","1,44%"
"23.06.2023","6,652","6,658","6,710","6,550","11,66M","-1,19%"
"22.06.2023","6,732","6,674","6,738","6,586","9,19M","-0,56%"
"21.06.2023","6,770","6,744","6,858","6,720","7,12M","0,45%"
"20.06.2023","6,740","6,764","6,808","6,714","5,88M","-0,85%"
"19.06.2023","6,798","6,772","6,856","6,758","5,92M","0,12%"
"16.06.2023","6,790","6,758","6,838","6,716","31,48M","0,83%"
"15.06.2023","6,734","6,750","6,796","6,686","11,10M","-0,62%"
"14.06.2023","6,776","6,546","6,814","6,540","17,04M","3,74%"
"13.06.2023","6,532","6,554","6,560","6,408","14,65M","-0,34%"
"12.06.2023","6,554","6,554","6,606","6,498","7,50M","0,68%"
"09.06.2023","6,510","6,594","6,634","6,426","7,31M","-1,15%"
"08.06.2023","6,586","6,540","6,686","6,522","11,15M","1,51%"
"07.06.2023","6,488","6,492","6,510","6,364","9,04M","0,15%"
"06.06.2023","6,478","6,434","6,486","6,398","8,16M","0,22%"
"05.06.2023","6,464","6,516","6,570","6,398","21,45M","-0,40%"
"02.06.2023","6,490","6,332","6,498","6,288","12,19M","3,74%"
"01.06.2023","6,256","6,216","6,324","6,182","8,46M","2,22%"
"31.05.2023","6,120","6,300","6,360","6,058","83,95M","-3,74%"
"30.05.2023","6,358","6,382","6,492","6,314","10,62M","-0,66%"
"29.05.2023","6,400","6,550","6,550","6,360","5,25M","-1,23%"
"26.05.2023","6,480","6,410","6,504","6,296","8,26M","1,00%"
"25.05.2023","6,416","6,330","6,462","6,286","13,07M","1,20%"
"24.05.2023","6,340","6,390","6,414","6,296","17,61M","-2,34%"
"23.05.2023","6,492","6,510","6,510","6,462","6,75M","-0,18%"
"22.05.2023","6,504","6,460","6,568","6,460","11,12M","0,18%"
"19.05.2023","6,492","6,500","6,544","6,466","13,64M","0,43%"
"18.05.2023","6,464","6,440","6,504","6,406","8,61M","1,51%"
"17.05.2023","6,368","6,250","6,368","6,250","7,95M","1,08%"
"16.05.2023","6,300","6,316","6,350","6,244","8,07M","-0,35%"
"15.05.2023","6,322","6,466","6,528","6,276","15,65M","-4,18%"
"12.05.2023","6,598","6,576","6,652","6,568","15,09M","0,92%"
"11.05.2023","6,538","6,300","6,570","6,298","17,82M","3,74%"
"10.05.2023","6,302","6,370","6,422","6,256","7,76M","-0,13%"
"09.05.2023","6,310","6,376","6,424","6,266","6,91M","-1,22%"
"08.05.2023","6,388","6,340","6,406","6,336","5,45M","1,56%"
"05.05.2023","6,290","6,238","6,298","6,134","14,12M","1,78%"
"04.05.2023","6,180","6,268","6,312","6,114","11,03M","-1,75%"
"03.05.2023","6,290","6,500","6,516","6,218","23,86M","-1,78%"
"02.05.2023","6,404","6,698","6,698","6,386","12,24M","-3,70%"
"28.04.2023","6,650","6,950","6,950","6,614","13,84M","-3,48%"
"27.04.2023","6,890","6,704","6,896","6,658","12,62M","3,11%"
"26.04.2023","6,682","6,600","6,694","6,484","11,34M","0,51%"
"25.04.2023","6,648","6,716","6,724","6,614","9,04M","-2,44%"
"24.04.2023","6,814","6,732","6,838","6,702","10,99M","0,47%"
"21.04.2023","6,782","6,752","6,782","6,678","14,78M","-0,47%"
"20.04.2023","6,814","6,990","7,048","6,756","10,68M","-1,50%"
"19.04.2023","6,918","6,848","6,944","6,816","12,20M","0,82%"
"18.04.2023","6,862","6,780","6,928","6,772","15,65M","2,23%"
"17.04.2023","6,712","6,832","6,860","6,680","18,79M","-1,38%"
"14.04.2023","6,806","6,650","6,806","6,616","64,72M","2,69%"
"13.04.2023","6,628","6,598","6,664","6,586","51,06M","0,45%"
"12.04.2023","6,598","6,486","6,678","6,486","61,37M","1,79%"
"11.04.2023","6,482","6,624","6,686","6,476","170,54M","-1,49%"
"06.04.2023","6,580","6,496","6,604","6,490","12,54M","1,86%"
"05.04.2023","6,460","6,406","6,492","6,376","14,63M","1,16%"
"04.04.2023","6,386","6,288","6,508","6,288","11,83M","1,75%"
"03.04.2023","6,276","6,280","6,418","6,272","14,52M","-4,49%"
"31.03.2023","6,571","6,660","6,695","6,543","43,52M","-0,73%"
"30.03.2023","6,619","6,599","6,690","6,547","71,77M","2,13%"
"29.03.2023","6,481","6,380","6,497","6,360","70,32M","2,16%"
"28.03.2023","6,344","6,350","6,399","6,241","137,23M","1,41%"
"27.03.2023","6,256","6,252","6,332","6,122","72,70M","2,07%"
"24.03.2023","6,129","6,350","6,350","6,021","28,08M","-4,43%"
"23.03.2023","6,413","6,450","6,579","6,374","20,91M","-2,61%"
"22.03.2023","6,585","6,538","6,754","6,489","29,35M","0,27%"
"21.03.2023","6,567","6,358","6,632","6,356","24,75M","5,39%"
"20.03.2023","6,231","5,990","6,329","5,735","35,74M","3,23%"
"17.03.2023","6,036","6,275","6,405","5,967","34,55M","-3,49%"
"16.03.2023","6,254","6,390","6,398","6,042","27,26M","3,41%"
"15.03.2023","6,048","6,681","6,687","5,929","49,37M","-9,60%"
"14.03.2023","6,690","6,430","6,729","6,371","24,00M","3,42%"
"13.03.2023","6,469","7,050","7,050","6,374","43,02M","-8,24%"
"10.03.2023","7,050","7,040","7,100","6,940","20,60M","-3,41%"
"09.03.2023","7,299","7,300","7,330","7,278","7,43M","-0,30%"
"08.03.2023","7,321","7,253","7,353","7,183","8,37M","0,47%"
"07.03.2023","7,287","7,450","7,555","7,287","14,56M","-2,14%"
"06.03.2023","7,446","7,400","7,454","7,370","6,98M","0,92%"
"03.03.2023","7,378","7,276","7,388","7,258","8,31M","1,63%"
"02.03.2023","7,260","7,205","7,262","7,135","9,82M","0,48%"
"01.03.2023","7,225","7,412","7,431","7,200","15,33M","-2,01%"
"28.02.2023","7,373","7,151","7,450","7,129","35,46M","2,59%"
"27.02.2023","7,187","7,070","7,220","7,064","11,03M","2,26%"
"24.02.2023","7,028","7,037","7,109","7,020","16,49M","-0,07%"
"23.02.2023","7,033","6,963","7,052","6,961","9,96M","1,24%"
"22.02.2023","6,947","6,923","6,950","6,878","11,97M","-0,30%"
"21.02.2023","6,968","6,958","6,989","6,842","8,37M","-0,07%"
"20.02.2023","6,973","7,001","7,023","6,964","5,04M","-0,04%"
"17.02.2023","6,976","6,953","7,015","6,927","24,01M","-0,49%"
"16.02.2023","7,010","6,915","7,015","6,914","18,85M","1,86%"
"15.02.2023","6,882","6,856","6,904","6,811","11,76M","0,10%"
"14.02.2023","6,875","6,849","6,957","6,809","12,32M","0,64%"
"13.02.2023","6,831","6,750","6,841","6,749","20,10M","1,35%"
"10.02.2023","6,740","6,780","6,818","6,696","9,95M","-0,88%"
